fragment_name,validation_family,smiles,functional_core,atom_index_zero_based,element,joint_stage1_esp_charge_e,joint_stage1_resp_charge_e,joint_stage2_esp_charge_e,joint_stage2_resp_charge_e,independent_conformer_count,independent_mean_e,independent_sample_std_e,joint_minus_independent_mean_e,absolute_joint_minus_independent_mean_e
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,False,9,C,-0.0240479602019,-0.189384680525,-0.189384680525,-0.189384680525,3,-0.190244736147,0.0217301999926,0.000860055622333,0.000860055622333
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,False,10,C,-0.44120328288,-0.142478617546,-0.142478617546,-0.142478617546,3,-0.145114538112,0.0422482496028,0.00263592056567,0.00263592056567
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,False,11,H,0.107052675163,0.0958087236438,0.0919472127273,0.0896720292655,3,0.0876223039996,0.00150575064393,0.00204972526593,0.00204972526593
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,False,12,H,0.100247683364,0.0906797061719,0.0919472127273,0.0896720292655,3,0.0876223039996,0.00150575064393,0.00204972526593,0.00204972526593
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,False,13,H,0.0948691844708,0.0862665190394,0.0919472127273,0.0896720292655,3,0.0876223039996,0.00150575064393,0.00204972526593,0.00204972526593
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,False,14,H,0.359119238797,0.280689679387,0.280689679387,0.280689679387,3,0.310451615726,0.0126351737229,-0.029761936339,0.029761936339
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,False,15,H,0.211155933273,0.151249121368,0.151249121368,0.151249121368,3,0.148734594978,0.00411753299672,0.00251452639,0.00251452639
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,False,16,H,0.13786817187,0.156830210761,0.156830210761,0.156830210761,3,0.156939830558,0.00602917535989,-0.000109619797,0.000109619797
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,False,17,H,0.152353663964,0.126782051673,0.126782051673,0.126782051673,3,0.126629100455,0.00133890521063,0.000152951218333,0.000152951218333
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,False,18,H,0.135980940628,0.158228505776,0.158228505776,0.158228505776,3,0.157542172661,0.00699836472309,0.000686333115333,0.000686333115333
methyl_n_phenyl_carbamate,aromatic_urethane,COC(=O)Nc1ccccc1,False,19,H,0.212989997949,0.14395089362,0.14395089362,0.14395089362,3,0.150539849192,0.00452105707537,-0.00658895557233,0.00658895557233
