combination_id,diisocyanate_id,diisocyanate_smiles,diisocyanate_mw_g_mol,macrodiol_proxy_id,macrodiol_proxy_smiles,macrodiol_proxy_monomer_mw_g_mol,chain_extender_id,chain_extender_smiles,chain_extender_mw_g_mol,combination_rule,structure_status,experimental_status,citation_keys
combo_41f4f1d438782a3e,polyuniverse_dinco_c842b8dc271bd83c79bd,CC1C(C)C(N=C=O)C(C)(C)C(C)C1N=C=O,236.315,chemical_34962dac292231e7,Cc1cc(Cc2cc(C)c(O)c(C)c2)cc(C)c1O,256.345,chemical_7eec20377145fdb7,CC1(C)C(O)C(C)(C)C1O,144.214,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
combo_420e038fe334249a,polyuniverse_dinco_7bf0d3c1efc36d46299a,O=C=NCCCC(CN=C=O)CC12CCC(CC1)C2,262.353,chemical_0895e6cd5136df6a,OCCOc1ccc(C2(c3ccc(OCCO)cc3)c3ccccc3-c3ccccc32)cc1,438.523,chemical_28a648027cd37607,OCCCCCCCCCO,160.257,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
combo_422a2c4548361e31,polyuniverse_dinco_01a65934dd666174775c,O=C=NCCC1CC2CC1C1CCC(CCN=C=O)C21,274.364,chemical_e4aa17432292bb19,Cc1cc2c(cc1O)C(C)(C)CC1(CC(C)(C)c3cc(O)c(C)cc3O1)O2,368.473,chemical_f25ee56de4366915,O=[N+]([O-])c1cc(CO)ccc1CO,183.163,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
combo_4260f2a6992d5516,polyuniverse_dinco_92d8be6885e141a4524f,Cc1ccc(Cc2ccc(Cl)cc2)c(N=C=O)c1N=C=O,298.729,chemical_e4aa17432292bb19,Cc1cc2c(cc1O)C(C)(C)CC1(CC(C)(C)c3cc(O)c(C)cc3O1)O2,368.473,chemical_706c38f2fda91d2c,CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1,242.318,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
combo_4263b3866df0d372,polyuniverse_dinco_2337b9bdfd4a7449f5ba,Cc1ccc(-n2nc(C(C)(C)C)c(N=C=O)c2N=C=O)cc1,296.33,chemical_f59a0ec9b5c263ad,CCCCCCCCC(CO)(CO)CCCCCCCC,300.527,chemical_6ee30a16c1c450ed,OC1CCCCC1O,116.16,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
combo_4280130786504545,polyuniverse_dinco_055819dc5371734047d1,N#COC1CCC(CC2CCC(N=C=O)C(CC3CCC(N=C=O)CC3)C2)CC1,399.535,chemical_e34b1bd2b88ad439,CC(C)(c1ccc(O)c(C2CCCCC2)c1)c1ccc(O)c(C2CCCCC2)c1,392.583,chemical_5be20976c2a9d662,Oc1c(F)c(F)c(O)c(F)c1F,182.072,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
combo_435e8c225584ec0c,polyuniverse_dinco_2337b9bdfd4a7449f5ba,Cc1ccc(-n2nc(C(C)(C)C)c(N=C=O)c2N=C=O)cc1,296.33,chemical_e4aa17432292bb19,Cc1cc2c(cc1O)C(C)(C)CC1(CC(C)(C)c3cc(O)c(C)cc3O1)O2,368.473,chemical_706c38f2fda91d2c,CCC(C)(c1ccc(O)cc1)c1ccc(O)cc1,242.318,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
combo_4366c6fd84b17aed,polyuniverse_dinco_629ef888e16fc71a3a21,CC(CN=C=O)CO[C@@H]1COC2C1OCC2(C)OCC(C)CN=C=O,354.403,chemical_34962dac292231e7,Cc1cc(Cc2cc(C)c(O)c(C)c2)cc(C)c1O,256.345,chemical_2a0d22152800ae85,Oc1ccc(Oc2ccc(O)cc2)cc1,202.209,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
combo_4385f206f9ba01f7,polyuniverse_dinco_6037461e6c665445a257,CCCC1(CN=C=O)CC(C)CC1CN=C=O,236.315,chemical_694871d5e95b7370,Oc1c(F)c(F)c(-c2c(F)c(F)c(O)c(F)c2F)c(F)c1F,330.13,chemical_dd2ebb8c8aeed446,Oc1ccc2c(O)cccc2c1,160.172,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
combo_438b5213f64ae9cb,polyuniverse_dinco_0321877a48fd93e2fb7d,CCC(N=C=O)OCC(C)(C)COC(CC)N=C=O,270.329,chemical_5e814be594638bdc,OCCCCCCCCCCCCCCCCO,258.446,chemical_dd2ebb8c8aeed446,Oc1ccc2c(O)cccc2c1,160.172,平衡轮转；非全笛卡尔积,three_components_passed_prototype_gate,未采购未合成；需路线、EHS与供应复核,ledger-007-smipoly-2023;ledger-135-yue-2024-polyuniverse-data;ledger-136-yue-2024-polyuniverse;ledger-137-yue-polyuniverse-code
