evaluation_id,evaluation_scheme,held_out_source_family,training_mode,model_name,target_name,unit,evaluation_split,aggregation_level,n_rows,n_groups,mae,rmse,r2,spearman,selected_alpha,evidence_scope,target_semantics,status
pue643::logTS,pue643_derived_feature_group_split,,equal_group_weight_smoke,numeric_categorical_weighted_ridge,logTS,published_log_transform_unit_unresolved,test,hard_group_macro,62,62,0.169261647802,0.213130671561,0.649290115764,0.706077891185,10,within_source_smoke_test,transformed_target_only,evaluated
pue643::logTS,pue643_derived_feature_group_split,,equal_group_weight_smoke,numeric_categorical_weighted_ridge,logTS,published_log_transform_unit_unresolved,test,row_weighted,62,62,0.169261647802,0.213130671561,0.649290115764,0.706077891185,10,within_source_smoke_test,transformed_target_only,evaluated
pue643::logTS,pue643_derived_feature_group_split,,equal_group_weight_smoke,numeric_categorical_weighted_ridge,logTS,published_log_transform_unit_unresolved,validation,hard_group_macro,61,61,0.180013049825,0.261768120608,0.622989532026,0.806118536804,10,within_source_smoke_test,transformed_target_only,evaluated
pue643::logTS,pue643_derived_feature_group_split,,equal_group_weight_smoke,numeric_categorical_weighted_ridge,logTS,published_log_transform_unit_unresolved,validation,row_weighted,61,61,0.180013049825,0.261768120608,0.622989532026,0.806118536804,10,within_source_smoke_test,transformed_target_only,evaluated
pue643::logTS,pue643_derived_feature_group_split,,equal_group_weight_smoke,weighted_mean,logTS,published_log_transform_unit_unresolved,test,hard_group_macro,62,62,0.291817536931,0.360027529468,-0.000754426822241,,,within_source_smoke_test,transformed_target_only,evaluated
pue643::logTS,pue643_derived_feature_group_split,,equal_group_weight_smoke,weighted_mean,logTS,published_log_transform_unit_unresolved,test,row_weighted,62,62,0.291817536931,0.360027529468,-0.000754426822241,,,within_source_smoke_test,transformed_target_only,evaluated
pue643::logTS,pue643_derived_feature_group_split,,equal_group_weight_smoke,weighted_mean,logTS,published_log_transform_unit_unresolved,validation,hard_group_macro,61,61,0.328154892455,0.42670561856,-0.00178983752302,,,within_source_smoke_test,transformed_target_only,evaluated
pue643::logTS,pue643_derived_feature_group_split,,equal_group_weight_smoke,weighted_mean,logTS,published_log_transform_unit_unresolved,validation,row_weighted,61,61,0.328154892455,0.42670561856,-0.00178983752302,,,within_source_smoke_test,transformed_target_only,evaluated
pue643::logYM,pue643_derived_feature_group_split,,equal_group_weight_smoke,numeric_categorical_weighted_ridge,logYM,published_log_transform_unit_unresolved,test,hard_group_macro,62,62,0.434477986335,0.570644765917,0.232506976514,0.462698782475,0.01,within_source_smoke_test,transformed_target_only,evaluated
pue643::logYM,pue643_derived_feature_group_split,,equal_group_weight_smoke,numeric_categorical_weighted_ridge,logYM,published_log_transform_unit_unresolved,test,row_weighted,62,62,0.434477986335,0.570644765917,0.232506976514,0.462698782475,0.01,within_source_smoke_test,transformed_target_only,evaluated
pue643::logYM,pue643_derived_feature_group_split,,equal_group_weight_smoke,numeric_categorical_weighted_ridge,logYM,published_log_transform_unit_unresolved,validation,hard_group_macro,61,61,0.409010108335,0.549541708198,0.458675832784,0.673294553146,0.01,within_source_smoke_test,transformed_target_only,evaluated
pue643::logYM,pue643_derived_feature_group_split,,equal_group_weight_smoke,numeric_categorical_weighted_ridge,logYM,published_log_transform_unit_unresolved,validation,row_weighted,61,61,0.409010108335,0.549541708198,0.458675832784,0.673294553146,0.01,within_source_smoke_test,transformed_target_only,evaluated
pue643::logYM,pue643_derived_feature_group_split,,equal_group_weight_smoke,weighted_mean,logYM,published_log_transform_unit_unresolved,test,hard_group_macro,62,62,0.532466294891,0.653294702889,-0.00591441956156,,,within_source_smoke_test,transformed_target_only,evaluated
pue643::logYM,pue643_derived_feature_group_split,,equal_group_weight_smoke,weighted_mean,logYM,published_log_transform_unit_unresolved,test,row_weighted,62,62,0.532466294891,0.653294702889,-0.00591441956156,,,within_source_smoke_test,transformed_target_only,evaluated
pue643::logYM,pue643_derived_feature_group_split,,equal_group_weight_smoke,weighted_mean,logYM,published_log_transform_unit_unresolved,validation,hard_group_macro,61,61,0.566434288489,0.750823385208,-0.0104892069509,,,within_source_smoke_test,transformed_target_only,evaluated
pue643::logYM,pue643_derived_feature_group_split,,equal_group_weight_smoke,weighted_mean,logYM,published_log_transform_unit_unresolved,validation,row_weighted,61,61,0.566434288489,0.750823385208,-0.0104892069509,,,within_source_smoke_test,transformed_target_only,evaluated
